image1L,image1R,image2L,image2R,imageCuedProbe,scramble1L,scramble1R,scramble2L,scramble2R,cuedType,uncuedType,cue,probeCorrect,buttonCorrect,arrow,run,imageUncuedProbe,uncuedProbeCorrect,uncuedButtonCorrect,probeNonCued
images/id107_v1_so.jpg,images/id114_v1_so.jpg,images/id071_v1_si.jpg,images/id103_v1_si.jpg,images/id103_v1_si.jpg,scrambles/id118_v1_so.jpg,scrambles/id137_v1_so.jpg,scrambles/id101_v1_si.jpg,scrambles/id083_v1_si.jpg,SI,SO,2,1,left,<,1,none,,,0
images/id069_v1_ff.jpg,images/id055_v1_ff.jpg,images/id133_v1_so.jpg,images/id138_v1_so.jpg,images/id043_v1_ff.jpg,scrambles/id044_v1_ff.jpg,scrambles/id061_v1_ff.jpg,scrambles/id133_v1_so.jpg,scrambles/id139_v1_so.jpg,FF,SO,1,0,left,>,1,images/id119_v1_so.jpg,0,left,1
images/id123_v1_so.jpg,images/id108_v1_so.jpg,images/id140_v1_so.jpg,images/id126_v1_so.jpg,images/id136_v1_so.jpg,scrambles/id131_v1_so.jpg,scrambles/id119_v1_so.jpg,scrambles/id121_v1_so.jpg,scrambles/id120_v1_so.jpg,SO,SO,1,0,left,>,1,none,,,0
images/id049_v1_ff.jpg,images/id047_v1_ff.jpg,images/id011_v1_fm.jpg,images/id001_v1_fm.jpg,images/id047_v1_ff.jpg,scrambles/id047_v1_ff.jpg,scrambles/id068_v1_ff.jpg,scrambles/id018_v1_fm.jpg,scrambles/id014_v1_fm.jpg,FF,FM,1,1,right,>,1,none,,,0
images/id085_v1_si.jpg,images/id088_v1_si.jpg,images/id105_v1_si.jpg,images/id098_v1_si.jpg,images/id085_v1_si.jpg,scrambles/id093_v1_si.jpg,scrambles/id092_v1_si.jpg,scrambles/id095_v1_si.jpg,scrambles/id081_v1_si.jpg,SI,SI,1,1,right,>,1,none,,,0
images/id137_v1_so.jpg,images/id135_v1_so.jpg,images/id089_v1_si.jpg,images/id073_v1_si.jpg,images/id106_v1_so.jpg,scrambles/id124_v1_so.jpg,scrambles/id114_v1_so.jpg,scrambles/id091_v1_si.jpg,scrambles/id089_v1_si.jpg,SO,SI,1,0,left,>,1,none,,,0
images/id039_v1_ff.jpg,images/id040_v1_ff.jpg,images/id034_v1_fm.jpg,images/id029_v1_fm.jpg,images/id026_v1_fm.jpg,scrambles/id065_v1_ff.jpg,scrambles/id051_v1_ff.jpg,scrambles/id012_v1_fm.jpg,scrambles/id034_v1_fm.jpg,FM,FF,2,0,right,<,1,images/id039_v1_ff.jpg,1,left,1
images/id041_v1_ff.jpg,images/id060_v1_ff.jpg,images/id097_v1_si.jpg,images/id077_v1_si.jpg,images/id041_v1_ff.jpg,scrambles/id052_v1_ff.jpg,scrambles/id059_v1_ff.jpg,scrambles/id082_v1_si.jpg,scrambles/id092_v1_si.jpg,FF,SI,1,1,right,>,1,images/id097_v1_si.jpg,1,right,1
images/id065_v1_ff.jpg,images/id052_v1_ff.jpg,images/id124_v1_so.jpg,images/id139_v1_so.jpg,images/id124_v1_so.jpg,scrambles/id045_v1_ff.jpg,scrambles/id038_v1_ff.jpg,scrambles/id125_v1_so.jpg,scrambles/id112_v1_so.jpg,SO,FF,2,1,left,<,1,none,,,0
images/id094_v1_si.jpg,images/id087_v1_si.jpg,images/id023_v1_fm.jpg,images/id006_v1_fm.jpg,images/id016_v1_fm.jpg,scrambles/id078_v1_si.jpg,scrambles/id088_v1_si.jpg,scrambles/id033_v1_fm.jpg,scrambles/id026_v1_fm.jpg,FM,SI,2,0,right,<,1,none,,,0
images/id005_v1_fm.jpg,images/id035_v1_fm.jpg,images/id013_v1_fm.jpg,images/id031_v1_fm.jpg,images/id010_v1_fm.jpg,scrambles/id027_v1_fm.jpg,scrambles/id028_v1_fm.jpg,scrambles/id023_v1_fm.jpg,scrambles/id001_v1_fm.jpg,FM,FM,2,0,right,<,1,none,,,0
