image1L,image1R,image2L,image2R,imageCuedProbe,scramble1L,scramble1R,scramble2L,scramble2R,cuedType,uncuedType,cue,probeCorrect,buttonCorrect,arrow,run,imageUncuedProbe,uncuedProbeCorrect,uncuedButtonCorrect,probeNonCued
images/id099_v1_si.jpg,images/id101_v1_si.jpg,images/id012_v1_fm.jpg,images/id008_v1_fm.jpg,images/id099_v1_si.jpg,scrambles/id083_v1_si.jpg,scrambles/id073_v1_si.jpg,scrambles/id013_v1_fm.jpg,scrambles/id001_v1_fm.jpg,SI,FM,1,1,right,>,2,none,,,0
images/id114_v1_so.jpg,images/id136_v1_so.jpg,images/id024_v1_fm.jpg,images/id018_v1_fm.jpg,images/id110_v1_so.jpg,scrambles/id136_v1_so.jpg,scrambles/id107_v1_so.jpg,scrambles/id026_v1_fm.jpg,scrambles/id007_v1_fm.jpg,SO,FM,1,0,left,>,2,none,,,0
images/id025_v1_fm.jpg,images/id002_v1_fm.jpg,images/id054_v1_ff.jpg,images/id066_v1_ff.jpg,images/id004_v1_fm.jpg,scrambles/id017_v1_fm.jpg,scrambles/id021_v1_fm.jpg,scrambles/id058_v1_ff.jpg,scrambles/id043_v1_ff.jpg,FM,FF,1,0,left,>,2,images/id054_v1_ff.jpg,1,right,1
images/id048_v1_ff.jpg,images/id067_v1_ff.jpg,images/id093_v1_si.jpg,images/id105_v1_si.jpg,images/id105_v1_si.jpg,scrambles/id068_v1_ff.jpg,scrambles/id066_v1_ff.jpg,scrambles/id074_v1_si.jpg,scrambles/id089_v1_si.jpg,SI,FF,2,1,left,<,2,none,,,0
images/id093_v1_si.jpg,images/id074_v1_si.jpg,images/id111_v1_so.jpg,images/id120_v1_so.jpg,images/id074_v1_si.jpg,scrambles/id095_v1_si.jpg,scrambles/id093_v1_si.jpg,scrambles/id123_v1_so.jpg,scrambles/id107_v1_so.jpg,SI,SO,1,1,right,>,2,none,,,0
images/id126_v1_so.jpg,images/id134_v1_so.jpg,images/id049_v1_ff.jpg,images/id042_v1_ff.jpg,images/id063_v1_ff.jpg,scrambles/id110_v1_so.jpg,scrambles/id123_v1_so.jpg,scrambles/id049_v1_ff.jpg,scrambles/id063_v1_ff.jpg,FF,SO,2,0,right,<,2,none,,,0
images/id112_v1_so.jpg,images/id121_v1_so.jpg,images/id050_v1_ff.jpg,images/id058_v1_ff.jpg,images/id112_v1_so.jpg,scrambles/id107_v1_so.jpg,scrambles/id106_v1_so.jpg,scrambles/id042_v1_ff.jpg,scrambles/id040_v1_ff.jpg,SO,FF,1,1,right,>,2,none,,,0
images/id076_v1_si.jpg,images/id094_v1_si.jpg,images/id101_v1_si.jpg,images/id102_v1_si.jpg,images/id101_v1_si.jpg,scrambles/id075_v1_si.jpg,scrambles/id072_v1_si.jpg,scrambles/id097_v1_si.jpg,scrambles/id098_v1_si.jpg,SI,SI,2,1,left,<,2,none,,,0
images/id138_v1_so.jpg,images/id123_v1_so.jpg,images/id106_v1_so.jpg,images/id131_v1_so.jpg,images/id119_v1_so.jpg,scrambles/id108_v1_so.jpg,scrambles/id134_v1_so.jpg,scrambles/id130_v1_so.jpg,scrambles/id109_v1_so.jpg,SO,SO,2,0,right,<,2,none,,,0
images/id043_v1_ff.jpg,images/id061_v1_ff.jpg,images/id051_v1_ff.jpg,images/id045_v1_ff.jpg,images/id057_v1_ff.jpg,scrambles/id066_v1_ff.jpg,scrambles/id062_v1_ff.jpg,scrambles/id049_v1_ff.jpg,scrambles/id042_v1_ff.jpg,FF,FF,2,0,right,<,2,none,,,0
